Name,Surname,City,Country,Birth,Weight,Height
Ron,Haslam,Langley Mill,UK,22/06/1956,66,1.73
Nicky,Hayden,Owensboro,USA,30/07/1981,69,1.73
Daniel,Holgado,Sant Vicent del Raspeig,Spain,27/04/2005,58,1.68
Rupert,Hollaus,Traisen,Austria,04/09/1931,58,1.66
John,Hopkins,Ramona,USA,22/05/1983,68,1.70
Bill,Ivy,Maidstone,UK,27/08/1942,54,1.60
Olivier,Jacque,Evreux,France,29/08/1974,63,1.68
Mika,Kallio,Valkeakoski,Finland,07/11/1982,60,1.68
Daijiro,Kato,Saitama,Japan,04/07/1976,51,1.62
Joel,Kelso,Nambour,Australia,12/06/2003,57,1.68
Danny,Kent,Tetbury,UK,25/11/1993,64,1.74
John,Kocinski,Little Rock,USA,20/03/1968,62,1.68
Regis,Laconi,Saint-Dizier,France,08/07/1975,70,1.76
Eddie,Lawson,Upland,USA,11/03/1958,68,1.73
Eugenio,Lazzarini,Urbino,Italy,26/03/1945,52,1.58
Iker,Lecuona,València,Spain,06/01/2000,70,1.79
Alonso,López,Madrid,Spain,21/12/2001,64,1.75
Jorge,Lorenzo,Palma,Spain,04/05/1987,65,1.71
Alex,Lowes,Lincoln,UK,14/09/1990,68,1.70
Sam,Lowes,Lincoln,UK,14/09/1990,67,1.70
Luca,Lunetta,Roma,Italy,27/05/2006,58,1.72
Thomas,Lüthi,Linden,Switzerland,06/09/1986,65,1.72
Niall,Mackenzie,Stirling,UK,19/07/1961,61,1.67
Anton,Mang,Inzell,Germany,29/09/1949,68,1.74
Luca,Marini,Urbino,Italy,10/08/1997,69,1.84
Marc,Márquez,Cervera,Spain,17/02/1993,65,1.69
Álex,Márquez,Cervera,Spain,23/04/1996,65,1.77
Jorge,Martín,Madrid,Spain,29/01/1998,70,1.68
Jaume,Masià,Algemesí,Spain,31/10/2000,57,1.66
Garry,McCoy,Sydney,Australia,18/04/1972,60,1.64
Jeremy,McWilliams,Belfast,UK,04/04/1964,66,1.71
Marco,Melandri,Ravenna,Italy,07/08/1982,64,1.66
Jack,Miller,Townsville,Australia,18/01/1995,64,1.73
Joan,Mir,Palma,Spain,01/09/1997,69,1.81
Franco,Morbidelli,Roma,Italy,04/12/1994,64,1.76
Diogo,Moreira,São Paulo,Brazil,23/04/2004,62,1.69
David,Muñoz,Sevilla,Spain,15/05/2006,58,1.67
Takaaki,Nakagami,Chiba,Japan,09/02/1992,70,1.75
Shinya,Nakano,Chiba,Japan,10/10/1977,61,1.67
Jorge,Navarro,La Pobla de Vallbona,Spain,03/02/1996,62,1.72
Ángel,Nieto,Zamora,Spain,25/01/1947,52,1.57
Scott,Ogden,Doncaster,UK,16/10/2003,58,1.73
Ai,Ogura,Kiyose,Japan,26/01/2001,62,1.68
Miguel,Oliveira,Almada,Portugal,04/01/1995,64,1.70
Deniz,Öncü,Alanya,Turkey,26/07/2003,61,1.68
Iván,Ortolá,València,Spain,04/08/2004,59,1.72
Nello,Pagani,Milà,Italy,11/10/1911,63,1.70
Mattia,Pasini,Rímini,Italy,13/08/1985,65,1.74
Dani,Pedrosa,Castellar del Vallès,Spain,29/09/1985,51,1.58
Valentín,Perrone,Buenos Aires,Argentina,13/01/2008,55,1.69
Danilo,Petrucci,Terni,Italy,24/10/1990,80,1.81
Tom,Phillis,Sydney,Australia,09/04/1934,60,1.68
Paolo,Pileri,Terni,Italy,31/07/1944,59,1.66
Ángel,Piqueras,Ayora,Spain,30/11/2006,57,1.70
Patrick,Pons,París,France,24/12/1952,66,1.75
Tarquinio,Provini,Roveleto,Italy,29/05/1933,58,1.65
Randy,de Puniet,Andrésy,France,14/02/1981,64,1.69
Fabio,Quartararo,Niça,France,20/04/1999,68,1.77
Máximo,Quiles,Múrcia,Spain,19/03/2008,53,1.66
Tito,Rabat,Barcelona,Spain,25/05/1989,64,1.78
Wayne,Rainey,Downey,USA,23/10/1960,68,1.73
Marcos,Ramírez,Conil de la Frontera,Spain,16/12/1997,62,1.72
Phil,Read,Luton,UK,01/01/1939,66,1.72
Scott,Redding,Quedgeley,UK,04/01/1993,74,1.85
Jim,Redman,Londres,UK,08/11/1931,65,1.73
Alex,Rins,Barcelona,Spain,08/12/1995,72,1.76
Joe,Roberts,Los Angeles,USA,16/06/1997,68,1.80
Kenny,Roberts,Modesto,USA,31/12/1951,62,1.65
Kenny,Roberts Jr.,Mountain View,USA,25/07/1973,68,1.70
Raymond,Roche,Ollioules,France,21/02/1957,67,1.72
Valentino,Rossi,Urbino,Italy,16/02/1979,69,1.81
Michel,Rougerie,París,France,21/04/1950,69,1.78
José Antonio,Rueda,Sevilla,Spain,29/10/2005,56,1.66
Bruno,Ruffo,Verona,Italy,09/12/1920,60,1.67
Jean-Philippe,Ruggia,Toló,France,01/10/1965,64,1.70
Jarno,Saarinen,Turku,Finland,11/12/1945,62,1.69
Filip,Salač,Mladá Boleslav,Txequia,12/12/2001,68,1.78
Cecil,Sandford,Ilford,UK,21/02/1928,60,1.68
Christian,Sarron,Clarmont-Ferrand,France,27/03/1955,62,1.74
Ayumu,Sasaki,Yokosuka,Japan,04/10/2000,55,1.67
Kevin,Schwantz,Houston,USA,19/06/1964,71,1.80
Barry,Sheene,Londres,UK,11/09/1950,60,1.71
Dave,Simmonds,Londres,UK,25/10/1939,61,1.67
Marco,Simoncelli,Cattolica,Italy,20/01/1987,76,1.83
Bradley,Smith,Oxford,UK,28/11/1990,64,1.75
Freddie,Spencer,Shreveport,USA,20/12/1961,68,1.78
Ben,Spies,Memphis,USA,11/07/1984,71,1.80
Casey,Stoner,Southport,Australia,16/10/1985,58,1.71
Makoto,Tamada,Matsuyama,Japan,04/11/1976,64,1.70
Luigi,Taveri,Horgen,Switzerland,19/09/1929,54,1.62
Nicolas,Terol,Alcoi,Spain,27/09/1988,64,1.71
Kaito,Toba,Fukuoka,Japan,07/04/2000,54,1.65
Jean-Louis,Tournadre,Clarmont-Ferrand,France,17/11/1958,62,1.68
Carlo,Ubbiali,Bèrgam,Italy,22/09/1929,52,1.59
Tohru,Ukawa,Chiba,Japan,18/05/1973,62,1.68
Collin,Veijer,Staphorst,Netherlands,19/02/2005,59,1.72
Chris,Vermeulen,Brisbane,Australia,19/06/1982,68,1.75
Celestino,Vietti,Cirié,Italy,13/10/2001,63,1.73
Walter,Villa,Castelnuovo Rangone,Italy,13/08/1943,62,1.67
Maverick,Viñales,Figueres,Spain,12/01/1995,64,1.71
Anthony,West,Brisbane,Australia,17/07/1981,68,1.74
Ryusei,Yamanaka,Chiba,Japan,06/11/2001,55,1.67
Johann,Zarco,Canes,France,16/07/1990,67,1.71
