Code,Name,Surname,City,Country,Birth,Weight,Height
CFOG,Carl,Fogarty,Blackburn,United Kingdom,01/07/1965,66,173
DFOG,Dennis,Foggia,Roma,Italy,07/01/2001,62,170
JFOL,Jonas,Folger,Mühldorf,Germany,13/08/1993,65,180
TFUR,Taiyo,Furusato,Kanoya,Japan,12/07/2005,57,172
SGAR,Sergio,García,Borriana,Spain,22/03/2003,63,171
RG87,Remy,Gardner,Sydney,Australia,24/02/1998,72,174
WGAR,Wayne,Gardner,Wollongong,Australia,11/10/1959,65,170
SGIB,Sete,Gibernau,Barcelona,Spain,15/12/1972,71,177
MGON,Manuel,González,Madrid,Spain,04/08/2002,64,172
RGOU,Rodney,Gould,Banbury,United Kingdom,10/03/1943,62,170
IGUE,Izan,Guevara,Palma,Spain,28/06/2004,63,174
SGUI,Sylvain,Guintoli,Montélimar,France,24/06/1982,68,179
WHAA,Werner,Haas,Augsburg,Germany,30/05/1927,60,165
NHAG,Noriyuki,Haga,Nagoya,Japan,02/03/1975,66,168
MHAI,Mike,Hailwood,Great Milton,United Kingdom,02/04/1940,74,180
RHAS,Ron,Haslam,Langley Mill,United Kingdom,22/06/1956,66,173
NHAY,Nicky,Hayden,Owensboro,United States of America,30/07/1981,69,173
DHOL,Daniel,Holgado,Sant Vicent del Raspeig,Spain,27/04/2005,58,168
RHOL,Rupert,Hollaus,Traisen,Austria,04/09/1931,58,166
JHOP,John,Hopkins,Ramona,United States of America,22/05/1983,68,170
BIVY,Bill,Ivy,Maidstone,United Kingdom,27/08/1942,54,160
OJAC,Olivier,Jacque,Evreux,France,29/08/1974,63,168
MKAL,Mika,Kallio,Valkeakoski,Finland,07/11/1982,60,168
DKAT,Daijiro,Kato,Saitama,Japan,04/07/1976,51,162
JKEL,Joel,Kelso,Nambour,Australia,12/06/2003,57,168
DKEN,Danny,Kent,Tetbury,United Kingdom,25/11/1993,64,174
JKOC,John,Kocinski,Little Rock,United States of America,20/03/1968,62,168
RLAC,Regis,Laconi,Saint-Dizier,France,08/07/1975,70,176
ELAW,Eddie,Lawson,Upland,United States of America,11/03/1958,68,173
ELAZ,Eugenio,Lazzarini,Urbino,Italy,26/03/1945,52,158
ILEC,Iker,Lecuona,València,Spain,06/01/2000,70,179
ALOP,Alonso,López,Madrid,Spain,21/12/2001,64,175
JLOR,Jorge,Lorenzo,Palma,Spain,04/05/1987,65,171
ALOW,Alex,Lowes,Lincoln,United Kingdom,14/09/1990,68,170
SLOW,Sam,Lowes,Lincoln,United Kingdom,14/09/1990,67,170
LLUN,Luca,Lunetta,Roma,Italy,27/05/2006,58,172
TLUT,Thomas,Lüthi,Linden,Switzerland,06/09/1986,65,172
NMAC,Niall,Mackenzie,Stirling,United Kingdom,19/07/1961,61,167
AMAN,Anton,Mang,Inzell,Germany,29/09/1949,68,174
LM10,Luca,Marini,Urbino,Italy,10/08/1997,69,184
AM73,Álex,Márquez,Cervera,Spain,23/04/1996,65,177
MM93,Marc,Márquez,Cervera,Spain,17/02/1993,65,169
JM89,Jorge,Martín,Madrid,Spain,29/01/1998,70,168
JMAS,Jaume,Masià,Algemesí,Spain,31/10/2000,57,166
GMAC,Garry,McCoy,Sydney,Australia,18/04/1972,60,164
JMCW,Jeremy,McWilliams,Belfast,United Kingdom,04/04/1964,66,171
MMEL,Marco,Melandri,Ravenna,Italy,07/08/1982,64,166
JM43,Jack,Miller,Townsville,Australia,18/01/1995,64,173
JM36,Joan,Mir,Palma,Spain,01/09/1997,69,181
FM21,Franco,Morbidelli,Roma,Italy,04/12/1994,64,176
DM11,Diogo,Moreira,São Paulo,Brazil,23/04/2004,62,169
DMUN,David,Muñoz,Sevilla,Spain,15/05/2006,58,167
TNAK,Takaaki,Nakagami,Chiba,Japan,09/02/1992,70,175
SNAK,Shinya,Nakano,Chiba,Japan,10/10/1977,61,167
JNAV,Jorge,Navarro,La Pobla de Vallbona,Spain,03/02/1996,62,172
ANIE,Ángel,Nieto,Zamora,Spain,25/01/1947,52,157
SOGD,Scott,Ogden,Doncaster,United Kingdom,16/10/2003,58,173
AO79,Ai,Ogura,Kiyose,Japan,26/01/2001,62,168
MOLI,Miguel,Oliveira,Almada,Portugal,04/01/1995,64,170
DONC,Deniz,Öncü,Alanya,Turkey,26/07/2003,61,168
IORT,Iván,Ortolá,València,Spain,04/08/2004,59,172
NPAG,Nello,Pagani,Milà,Italy,11/10/1911,63,170
MPAS,Mattia,Pasini,Rímini,Italy,13/08/1985,65,174
DPED,Dani,Pedrosa,Castellar del Vallès,Spain,29/09/1985,51,158
VPER,Valentín,Perrone,Buenos Aires,Argentina,13/01/2008,55,169
DPET,Danilo,Petrucci,Terni,Italy,24/10/1990,80,181
TPHI,Tom,Phillis,Sydney,Australia,09/04/1934,60,168
PPIL,Paolo,Pileri,Terni,Italy,31/07/1944,59,166
APIQ,Ángel,Piqueras,Ayora,Spain,30/11/2006,57,170
MPIR,Michele,Pirro,San Giovanni Rotondo,Italy,05/07/1986,70,177
PPON,Patrick,Pons,París,France,24/12/1952,66,175
TPRO,Tarquinio,Provini,Roveleto,Italy,29/05/1933,58,165
FQ20,Fabio,Quartararo,Niça,France,20/04/1999,68,177
MQUI,Máximo,Quiles,Múrcia,Spain,19/03/2008,53,166
TRAB,Tito,Rabat,Barcelona,Spain,25/05/1989,64,178
WRAI,Wayne,Rainey,Downey,United States of America,23/10/1960,68,173
MRAM,Marcos,Ramírez,Conil de la Frontera,Spain,16/12/1997,62,172
TR7,Toprak,Razgatlıoğlu,Alanya,Turkey,16/10/1996,68,182
PREA,Phil,Read,Luton,United Kingdom,01/01/1939,66,172
SRED,Scott,Redding,Quedgeley,United Kingdom,04/01/1993,74,185
JRED,Jim,Redman,Londres,United Kingdom,08/11/1931,65,173
AR42,Alex,Rins,Barcelona,Spain,08/12/1995,72,176
JROB,Joe,Roberts,Los Angeles,United States of America,16/06/1997,68,180
KROB,Kenny,Roberts,Modesto,United States of America,31/12/1951,62,165
KROJ,Kenny,Roberts Jr.,Mountain View,United States of America,25/07/1973,68,170
RROC,Raymond,Roche,Ollioules,France,21/02/1957,67,172
VROS,Valentino,Rossi,Urbino,Italy,16/02/1979,69,181
MROU,Michel,Rougerie,París,France,21/04/1950,69,178
JRUE,José Antonio,Rueda,Sevilla,Spain,29/10/2005,56,166
BRUF,Bruno,Ruffo,Verona,Italy,09/12/1920,60,167
JRUG,Jean-Philippe,Ruggia,Toló,France,01/10/1965,64,170
JSAA,Jarno,Saarinen,Turku,Finland,11/12/1945,62,169
FSAL,Filip,Salač,Mladá Boleslav,Czechia,12/12/2001,68,178
CSAN,Cecil,Sandford,Ilford,United Kingdom,21/02/1928,60,168
CSAR,Christian,Sarron,Clarmont-Ferrand,France,27/03/1955,62,174
ASAS,Ayumu,Sasaki,Yokosuka,Japan,04/10/2000,55,167
LSAV,Lorenzo,Savadori,Cesena,Italy,04/04/1993,67,177
KSCH,Kevin,Schwantz,Houston,United States of America,19/06/1964,71,180
BSHE,Barry,Sheene,Londres,United Kingdom,11/09/1950,60,171
DSIM,Dave,Simmonds,Londres,United Kingdom,25/10/1939,61,167
MSIM,Marco,Simoncelli,Cattolica,Italy,20/01/1987,76,183
BSMI,Bradley,Smith,Oxford,United Kingdom,28/11/1990,64,175
FSPE,Freddie,Spencer,Shreveport,United States of America,20/12/1961,68,178
BSPI,Ben,Spies,Memphis,United States of America,11/07/1984,71,180
CSTO,Casey,Stoner,Southport,Australia,16/10/1985,58,171
MTAM,Makoto,Tamada,Matsuyama,Japan,04/11/1976,64,170
LTAV,Luigi,Taveri,Horgen,Switzerland,19/09/1929,54,162
NTER,Nicolas,Terol,Alcoi,Spain,27/09/1988,64,171
KTOB,Kaito,Toba,Fukuoka,Japan,07/04/2000,54,165
JTOU,Jean-Louis,Tournadre,Clarmont-Ferrand,France,17/11/1958,62,168
CUBB,Carlo,Ubbiali,Bèrgam,Italy,22/09/1929,52,159
TUKA,Tohru,Ukawa,Chiba,Japan,18/05/1973,62,168
CVEI,Collin,Veijer,Staphorst,Netherlands,19/02/2005,59,172
CVER,Chris,Vermeulen,Brisbane,Australia,19/06/1982,68,175
CVIE,Celestino,Vietti,Cirié,Italy,13/10/2001,63,173
WVIL,Walter,Villa,Castelnuovo Rangone,Italy,13/08/1943,62,167
MV12,Maverick,Viñales,Figueres,Spain,12/01/1995,64,171
AWES,Anthony,West,Brisbane,Australia,17/07/1981,68,174
RYAM,Ryusei,Yamanaka,Chiba,Japan,06/11/2001,55,167
JZ5,Johann,Zarco,Canes,France,16/07/1990,67,171
